iter	Passed	Remaining
0	134	134595
1	136	68063
2	137	45858
3	139	34788
4	141	28166
5	143	23715
6	144	20529
7	146	18167
8	148	16325
9	149	14840
10	151	13635
11	153	12618
12	154	11762
13	156	11028
14	158	10401
15	160	9840
16	161	9339
17	162	8873
18	164	8483
19	166	8138
20	167	7812
21	168	7509
22	170	7241
23	172	7006
24	173	6776
25	175	6565
26	177	6385
27	178	6204
28	180	6045
29	181	5871
30	183	5726
31	184	5590
32	186	5465
33	188	5348
34	189	5238
35	191	5129
36	193	5027
37	194	4927
38	196	4834
39	197	4742
40	199	4660
41	200	4583
42	202	4512
43	204	4443
44	205	4370
45	207	4300
46	209	4239
47	210	4178
48	212	4115
49	213	4056
50	215	4000
51	216	3948
52	218	3896
53	219	3848
54	221	3797
55	222	3751
56	224	3709
57	225	3666
58	227	3626
59	228	3581
60	230	3543
61	231	3498
62	232	3461
63	234	3427
64	235	3392
65	237	3358
66	238	3324
67	240	3292
68	241	3262
69	243	3232
70	244	3201
71	246	3173
72	247	3145
73	249	3117
74	250	3091
75	252	3066
76	253	3040
77	255	3015
78	256	2990
79	257	2966
80	259	2944
81	260	2921
82	262	2899
83	263	2877
84	265	2856
85	266	2836
86	268	2817
87	269	2794
88	271	2775
89	272	2755
90	274	2737
91	275	2718
92	276	2699
93	278	2682
94	279	2665
95	281	2649
96	282	2632
97	284	2616
98	285	2599
99	287	2583
100	288	2567
101	289	2551
102	291	2536
103	292	2521
104	294	2507
105	295	2493
106	297	2480
107	298	2465
108	300	2453
109	301	2440
110	302	2423
111	303	2409
112	305	2397
113	306	2385
114	308	2373
115	309	2355
116	310	2343
117	312	2333
118	313	2323
119	315	2312
120	316	2301
121	318	2290
122	319	2280
123	321	2270
124	322	2259
125	324	2248
126	325	2236
127	327	2228
128	328	2219
129	330	2209
130	331	2198
131	332	2189
132	334	2180
133	335	2171
134	337	2162
135	339	2153
136	340	2145
137	342	2137
138	343	2130
139	345	2122
140	346	2113
141	348	2105
142	349	2097
143	351	2088
144	352	2080
145	354	2073
146	355	2065
147	357	2058
148	359	2051
149	360	2044
150	361	2033
151	362	2023
152	364	2016
153	365	2009
154	367	2001
155	368	1995
156	370	1987
157	371	1981
158	373	1975
159	375	1969
160	376	1962
161	378	1956
162	379	1949
163	381	1944
164	382	1935
165	384	1929
166	385	1923
167	387	1917
168	388	1911
169	390	1905
170	391	1900
171	393	1894
172	394	1888
173	396	1881
174	397	1875
175	399	1870
176	400	1863
177	402	1857
178	403	1852
179	405	1847
180	406	1841
181	408	1836
182	409	1830
183	411	1824
184	412	1819
185	414	1813
186	415	1808
187	417	1803
188	418	1797
189	420	1792
190	422	1787
191	423	1782
192	425	1778
193	426	1772
194	428	1767
195	429	1762
196	431	1758
197	432	1753
198	434	1748
199	436	1747
200	438	1741
201	439	1736
202	441	1731
203	442	1725
204	443	1720
205	445	1715
206	446	1711
207	448	1706
208	449	1702
209	451	1697
210	452	1693
211	454	1688
212	455	1684
213	457	1679
214	458	1675
215	460	1671
216	461	1666
217	463	1661
218	464	1657
219	466	1653
220	467	1649
221	469	1644
222	470	1639
223	472	1635
224	473	1631
225	474	1625
226	475	1620
227	477	1616
228	478	1611
229	480	1607
230	481	1604
231	483	1600
232	485	1596
233	486	1592
234	487	1587
235	489	1583
236	490	1579
237	491	1574
238	493	1570
239	494	1565
240	496	1562
241	497	1558
242	498	1554
243	500	1549
244	501	1545
245	503	1541
246	504	1537
247	505	1534
248	507	1530
249	508	1525
250	510	1522
251	511	1518
252	512	1514
253	514	1510
254	515	1507
255	517	1503
256	518	1500
257	520	1496
258	521	1492
259	523	1488
260	524	1485
261	525	1481
262	527	1477
263	528	1474
264	530	1470
265	531	1467
266	533	1463
267	534	1459
268	535	1456
269	537	1453
270	538	1449
271	540	1446
272	541	1443
273	543	1440
274	544	1436
275	546	1433
276	547	1429
277	549	1426
278	550	1423
279	552	1420
280	553	1416
281	555	1413
282	556	1410
283	558	1406
284	559	1403
285	560	1399
286	562	1396
287	563	1393
288	565	1390
289	566	1387
290	568	1384
291	569	1381
292	571	1378
293	572	1375
294	574	1372
295	575	1368
296	577	1366
297	578	1363
298	580	1361
299	582	1358
300	583	1355
301	584	1352
302	586	1349
303	588	1346
304	589	1343
305	591	1341
306	593	1339
307	594	1336
308	596	1333
309	597	1330
310	599	1328
311	601	1325
312	602	1323
313	604	1320
314	605	1316
315	607	1314
316	608	1311
317	610	1308
318	611	1306
319	613	1303
320	615	1301
321	616	1298
322	618	1295
323	619	1293
324	621	1290
325	623	1288
326	624	1285
327	626	1282
328	627	1280
329	629	1277
330	630	1274
331	632	1271
332	633	1269
333	635	1266
334	636	1263
335	638	1261
336	639	1258
337	641	1256
338	643	1254
339	644	1251
340	646	1249
341	647	1246
342	649	1243
343	650	1241
344	652	1238
345	654	1236
346	655	1233
347	657	1231
348	658	1228
349	660	1225
350	661	1223
351	663	1220
352	664	1218
353	666	1215
354	667	1212
355	669	1210
356	670	1208
357	672	1205
358	673	1203
359	675	1200
360	676	1198
361	678	1195
362	679	1192
363	681	1190
364	682	1187
365	684	1184
366	685	1182
367	687	1179
368	688	1177
369	690	1175
370	691	1172
371	693	1170
372	694	1167
373	696	1165
374	697	1162
375	699	1160
376	700	1158
377	702	1156
378	704	1153
379	705	1151
380	707	1148
381	708	1146
382	709	1143
383	711	1141
384	712	1138
385	714	1136
386	716	1134
387	717	1131
388	718	1128
389	720	1126
390	721	1124
391	723	1121
392	724	1119
393	726	1116
394	727	1114
395	729	1112
396	730	1110
397	732	1108
398	734	1105
399	735	1103
400	737	1101
401	738	1098
402	740	1096
403	741	1093
404	743	1091
405	744	1089
406	746	1087
407	747	1085
408	749	1082
409	750	1080
410	752	1077
411	753	1075
412	754	1072
413	756	1070
414	758	1068
415	759	1066
416	761	1064
417	762	1062
418	764	1060
419	765	1057
420	767	1055
421	768	1053
422	770	1050
423	771	1048
424	773	1046
425	774	1044
426	776	1041
427	777	1039
428	779	1037
429	781	1035
430	782	1033
431	784	1030
432	785	1028
433	786	1026
434	788	1023
435	789	1021
436	791	1019
437	793	1017
438	794	1015
439	796	1013
440	797	1010
441	798	1008
442	800	1006
443	801	1004
444	803	1001
445	804	999
446	806	997
447	807	994
448	809	993
449	810	990
450	812	988
451	813	986
452	815	984
453	816	982
454	818	980
455	819	978
456	821	975
457	822	973
458	824	971
459	825	969
460	827	967
461	828	965
462	830	963
463	831	960
464	833	958
465	834	956
466	835	954
467	837	951
468	838	949
469	840	947
470	841	945
471	843	943
472	844	941
473	846	939
474	848	937
475	849	935
476	851	933
477	852	931
478	854	929
479	855	926
480	857	924
481	858	922
482	859	920
483	861	918
484	862	916
485	864	913
486	865	911
487	866	909
488	867	906
489	869	904
490	870	902
491	871	900
492	873	898
493	874	895
494	876	893
495	877	891
496	878	889
497	880	887
498	881	885
499	883	883
500	884	880
501	885	878
502	887	876
503	889	874
504	890	872
505	891	870
506	893	868
507	894	866
508	896	864
509	897	862
510	898	860
511	900	858
512	901	856
513	903	853
514	904	851
515	906	850
516	907	847
517	909	845
518	910	843
519	912	841
520	913	839
521	914	837
522	916	835
523	918	833
524	919	831
525	920	829
526	922	827
527	923	825
528	924	823
529	926	821
530	927	819
531	929	817
532	930	815
533	931	813
534	933	811
535	934	809
536	936	807
537	937	805
538	939	803
539	940	801
540	941	798
541	943	797
542	944	795
543	946	793
544	947	790
545	948	788
546	950	786
547	951	784
548	952	782
549	954	780
550	955	778
551	957	776
552	958	775
553	960	773
554	961	771
555	963	769
556	964	767
557	966	765
558	968	763
559	969	761
560	971	759
561	972	757
562	973	755
563	975	754
564	977	752
565	978	750
566	980	748
567	981	746
568	983	744
569	984	742
570	986	740
571	987	739
572	989	737
573	990	735
574	991	733
575	993	731
576	994	729
577	996	727
578	997	725
579	999	723
580	1000	721
581	1002	719
582	1003	717
583	1004	715
584	1006	714
585	1008	712
586	1010	710
587	1011	708
588	1012	706
589	1014	704
590	1016	703
591	1017	701
592	1019	699
593	1020	697
594	1022	695
595	1023	693
596	1025	691
597	1026	690
598	1028	688
599	1029	686
600	1031	684
601	1032	682
602	1033	680
603	1035	678
604	1036	676
605	1038	675
606	1039	673
607	1041	671
608	1042	669
609	1044	667
610	1045	665
611	1046	663
612	1048	661
613	1049	660
614	1051	658
615	1052	656
616	1054	654
617	1055	652
618	1057	650
619	1058	648
620	1060	647
621	1061	645
622	1063	643
623	1064	641
624	1065	639
625	1067	637
626	1068	635
627	1070	633
628	1071	632
629	1073	630
630	1074	628
631	1076	626
632	1077	624
633	1079	622
634	1080	621
635	1082	619
636	1083	617
637	1085	615
638	1086	613
639	1088	612
640	1089	610
641	1091	608
642	1093	606
643	1094	605
644	1096	603
645	1097	601
646	1099	599
647	1100	598
648	1102	596
649	1104	594
650	1105	592
651	1107	591
652	1109	589
653	1110	587
654	1111	585
655	1113	583
656	1114	582
